Product,Price,Sold,Reviews,LazMall,Location,Signals
Canon power shot s45 digital camera,145.0,0,0,False,Chiang Mai,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
Canon Powershot G7 X Mark Iii 20.1Mp Compact Camera Black,10000.0,0,0,False,Nakhon Sawan,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
Canoneos R50 Mirrorless Camera with Rf-S18-45Mm F4.5-6.3 White Body,11990.0,0,0,False,Samut Prakan,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
Canon 550d เมนูไทย ปกติทุกอย่าง/มือ2,7290.0,5,1,False,Chanthaburi,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
กล้องฟิล์มCanon AF35ML,2250.0,0,0,False,Samut Prakan,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
สภาพนางฟ้าเหมือนใหม่ 97% กล้อง Canon M50ii Mark 2 เมนูไทย Mirrorless Camera,21590.0,0,0,False,Bangkok,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS R100 body 24.1MP APS-C CMOS sensor, DIGIC 8, processor, ISO 100-12800, Dual Pixel AF Capture, Eye Detection AF, 143 AF zones, continuous shooting 6.5 fps, 4K & HD 120p with Movie Digital IS, Electronic Viewfinder (EVF), Wi-Fi Bluetooth, 356g",13960.0,0,0,False,Chonburi,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS R50 Body 24.2 MP, 4K Video, for movie recording and vlogging, UVC Livestreaming web cam, Subject Detection, Tracking, Compact, Smartphone Connection, Content Creator, 4K uncropped from 6K and Full HD High-frame rate movie at up to 120 fps, used",19600.0,0,1,False,Chonburi,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
Canon IXUS 185 IXY 200 PowerShot ELPH 20MP HD compact Digital camera 8X Zoom กล้องดิจิตอลคอมแพค แคนนอน มือสองคุณภาพดีมีประกัน,10790.0,0,0,False,Pathum Thani,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
Canon Eos M50 พร้อมส่ง รับประกัน 1 ปี,18900.0,16,2,False,Nonthaburi,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
Canon PowerShot SX740 HS Point & Shoot Camera Black NEW,24990.0,0,0,False,Bangkok,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
Canon Powershot S100 Digital Compact Camera กล้องดิจิตอลคอมแพคระดับไฮเอนด์ เลนส์คมชัดสูง มีกันสั่น 5X Lens 24-120mm F2 มือสองคุณภาพ,13490.0,0,0,False,Pathum Thani,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
( มือสอง) กล้อง canon ixus210is /ixy10s เมนูไทย สวยจิกตา,14990.0,0,0,False,Chiang Rai,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
Canon EOS M50 24.1MP 4K Mirrorless Vlogging Camera Kit with 15-45mm Lens กล้องสุดฮิตยูทูปเปอร์ไลฟ์สด สเปคเทพ มือสองคุณภาพประกันสูง3เดือน,19590.0,0,2,False,Pathum Thani,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
"Canon EOS R50 Body 24.2 MP, 4K Video, for movie recording and vlogging, UVC Livestreaming web cam, Subject Detection, Tracking, Compact, Smartphone Connection, Content Creator, 4K uncropped from 6K and Full HD High-frame rate movie at up to 120 fps,",19890.0,0,0,False,Chonburi,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
กล้อง canon ixy210f (ixus115hs) สีสวย เต็มระบบ,7590.0,0,0,False,Chiang Rai,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
"Canon Powershot IXUS 285 ( IXY 650 ,ELPH 360 ) สุดยอดกล้องดิจิตอล Hi-end  Digital Camera 20.2MP 12X Lens WiFi NFC Usedมือสองหายาก",16890.0,0,0,False,Pathum Thani,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
(สินค้ามือ2) กล้อง Canon M10 lens 15-45 พร้อมอุปกรณ์ wifi เซลฟี่ได้ค่ะ,12900.0,0,0,False,Bangkok,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
Canon EOS R50 V (ประกันศูนย์),30990.0,0,0,False,Bangkok,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS R50 Body 24.2 MP, 4K Video, for movie recording and vlogging, UVC Livestreaming web cam, Subject Detection, Tracking, Compact, Smartphone Connection, Content Creator, 4K uncropped from 6K and Full HD High-frame rate movie at up to 120 fps, used",19900.0,0,0,False,Chonburi,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
Canon Powershot Sx740 Hs 20.3Mp Point & Shoot Compact Camera Black (Brand New),14300.0,0,0,False,Samut Prakan,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
Canon EOS M50 mark II + EF-M 15-45mm IS STM 24.1MP 4K สุดยอดกล้องพร้อมเลนส์ มือสองสภาพสวย เหมือนใหม่ใช้น้อย Used ประกันสูง3เดือน,22490.0,0,0,False,Pathum Thani,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
Canon IXY 10s IXUS 210 PowerShot SD3500 IS Digital Compact Compact กล้องคอมแพคสุดฮิต ถ่ายสวย จอใหญ่ 3.5“LCD Usedมือสองคุณภาพประกันสูง,16490.0,0,0,False,Pathum Thani,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
Canon กล้อง EOS M100 Kit 15-45mm IS STM ของแท้ 100%,20900.0,0,0,False,Bangkok,"ราคาสูง, จำนวนการขายและรีวิวเป็น 0"
(สินค้ามือ2) กล้อง Canon M10 lens 15-45 พร้อมอุปกรณ์ wifi เซลฟี่ได้ค่ะ,9990.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องแคนนอน CANON EOS R50 RF-S18-45MM. F/4.5-6.3 IS STM [ประกันศูนย์ 1 ปี],25990.0,55,8,False,Bangkok,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
Canon EOS M100 +15-45mm กล้องพร้อมเลนส์ ถ่ายสวย ฟังก์ชันเยี่ยม Vlog Camera 24.2MP FULL HD 60fps WiFi NFC Bluetooth Usedมือสองคุณภาพ,20890.0,0,1,False,Pathum Thani,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
"Canon Eos 1000D Camera with 2 Lenses 18-55mm + 80-210mm, Used Product, Camera Ready to Use.",4500.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
กล้องมือสองถูก Canon 500D  แถมเม็ม,4900.0,0,2,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวต่ำ"
กล้องดิจิตอล canon 1100D,3990.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
กล้องดิจิตอล canon 450 D,2950.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
กล้องฟิล์มวินเทจ​ canon​ fx (อ่านให้เข้าใจก่อนซื้อ)​ขึ้นฟิล์มได้ชัตเตอร์ไม่ได้​  เอาไปสะสมกรือซ่อมใช้,280.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
[มือสอง] กล้อง DSLR Canon EOS 350D เลนซ์ EFS 18-55 mm พร้อมกระเป๋าและอุปกรณ์ครบ,3100.0,0,0,False,Rayong,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 550D DSLR Black Body, 550 D Kiss X4 Rebel T2i, compatible with Magic Lantern firmware, Compatible with full line of Canon EF and EF-S lenses, Full HD movies, 3.7 fps, Advanced Live View, Auto Lighting Optimizer and Highlight Tone features, used",4700.0,24,6,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
กล้องมือ2canon 1100d/เมนูไทย/มือใหม่/มีตำนิมุมคล้ำ/ปกติทุกอย่าง,5990.0,0,1,False,Chanthaburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
กล้องดิจิตอล canon 300 D,1850.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
กล้องฟิล์ม APS Canon EOS IX50 สภาพสวย ใช้งานได้ทุกฟังก์ชั่น,900.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
Canon750D+18-55 สภาพดี เมนูไทย มีWiFi จอกลางออกได้ ใช้งานได้ปกติทุกระบบ ตำหนิมุมจอดำ,10700.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องดิจิตอลคอมแพค CANON IXUS 285 HS ประกันศูนย์ 1 ปี,14500.0,0,1,False,Suphanburi,"ราคาปานกลาง, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 5D Mark II 21.1MP Professional Full Frame DSLR Camera Black Body, DS126201, 5 D Mark 2 M2  Full-Frame CMOS Sensor 3.0-inch Clear View LCD magnesium alloy Live View function with three AF modes - Quick Mode, Live Mode, Face Detect Live Mode, used",9990.0,0,0,False,Chonburi,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
Canon PowerShot G7 X Mark III Digital Camera,11000.0,0,0,False,Bangkok,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
"（J70）【Canon】 48mp digital camera support provides 32GB memory card, 3.0-inch screen, 18 megapixel resolution, 4K, with anti-shake, family camera, travel camera bit cheaper",5850.0,0,0,False,Rayong,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 650D Body Only, EOS Rebel T4i / Kiss X6i Full-HD movies with manual controls and continuous AF 5 fps continuous shooting Vari-angle Clear View LCD II Touch screen ISO 100-12,800 sensitivity, extendable to ISO 25,600 9-point wide-area AF, used",5690.0,9,6,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
[Canon Technical Support] กล้องใหม่ กล้อง 4.8K กล้อง wifi (ได้รับ 5 ปี + เลนส์ฟรี 52 มม. x2+ การ์ดหน่วยความจํา 32G ) Wide Angle Digital Camera 4K Vlog Camcorder For YouTube,2899.0,232,69,False,Pathum Thani,"ราคาต่ำมาก, จำนวนการขายสูงแต่รีวิวต่ำ  และคำอธิบายสินค้าไม่น่าเชื่อถือ"
"Canon EOS 1100D (Kiss X50 / Rebel T3) DSLR camera Black body only Compatible with ALL Canon EF and EF-S Lenses 63 Zone Dual-Layer System / 9 Point AF, 3 fps Basic+, Quick Setting, and Creative Auto ISO 6400 12.2MP CMOS (APS-C) sensor, Canon's DIGIC 4 CPU",3900.0,0,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 1000D DSLR Black body, (Kiss F / Rebel XS), compatible lenses: Canon EF and EF-S, 10.1MP CMOS sensor, 7-point wide area AF system and up to 3fps, Auto Lighting Optimizer in action , Picture Style settings, P, Tv, Av, and Manual modes, used",3690.0,7,3,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 60D DSLR camera Body, Digital SLR Camera Black Body, 1080p HD video recording with manual controls 3.0 inch articulated Clear View LCD with 1,040,000 dots 9-point AF system (all cross-type) Wireless flash control, used",5500.0,0,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 1100D (Rebel T3) DSLR Gray body only, LCD not work, DIGIC 4, 2.7"" Clear View LCD, 720p HD Movie Mode 100-6400 ISO, Compatible with Canon EF and EF-S Lenses, 63 Zone Dual-Layer System, 9 Point AF, 3 fps Continuous JPEG and RAW images, used",2900.0,0,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon500D+28-80 เมนูไทย ใช้งานได้ปกติทุกระบบ,4800.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 100D World’s Smallest and Lightest DSLR Body Only, (Kiss X7 / Rebel SL1)  ISO 25600, Touch Autofocus, compatible with Canon's vast range of EF-S and EF lenses, Hybrid CMOS AF II' system 80% frame coverage, 3” ClearView II capacitive touch, used",5950.0,5,3,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon EOS 6D Mark II DSLR Camera,11500.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องมือสองถูก Canon 1100D canon1100d  แถมเม็ม แถมกระเป๋า,4200.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
"Canon PowerShot SX620 HS Wi-Fi NFC 20.2MP 25–625mm 100x Combined Zoom, Optical Image Stabilizer,  ideal for capturing memories of kids' achievements on the sporting field, recitals, plays, concerts, from landscapes, wildlife to city scenes and more, used",11880.0,0,0,False,Chonburi,"ราคาปานกลาง, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 8000D 760D Rebel T6s DSLR Camera Body Wi-Fi NFC 24.2MP, WiFi, Touchscreen, HDMI out, Clear View II, Full HD 1080p/60 Video & Movie Servo AF Hybrid CMOS AF III touch-screen vari-angle LCD, Touch Shutter feature 19 all cross-type AF points, used",9690.0,5,2,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon1000D+18-55 ใช้งานได้ปกติทุกระบบ,4800.0,0,1,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon Eos 7 (Body) มือสอง,4300.0,0,0,False,Samut Prakan,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
Canon Eos 6D Mark Ii 26.2Mp Digital Slr Camera Black Body Only,10000.0,0,0,False,Nakhon Sawan,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องส่งพระแท้Canon uitra 10X18 ดํา เจาะลึกคมชัดโฟกัสไว้เลนส์เคลือบมัลติโค๊ดตัดแสงสท้อนลุยได้ในทุกสนามมาพร้อมซองหนัง,380.0,48,16,False,Nonthaburi,"ราคาต่ำมาก, จำนวนการขายสูง แต่คำอธิบายสินค้าไม่ชัดเจน"
กล้องฟิล์ม canon​ t50 เทสแล้วใช้ได้ปกติ ช่องมองมีฝุ่นรา,390.0,0,0,False,Bangkok,"ราคาต่ำมาก, จำนวนการขายและรีวิวเป็น 0"
กล้องcanon 700d+18-55mm/เมนูไทย,8350.0,0,1,False,Chanthaburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
กล้องมือสองถูก canon 700d canon700d แคนนอน,7490.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
"Canon EOS 500D DSLR Black Body, Rebel T1i, Kiss X3. Compatibility with all EF/EF-S lenses and Speedlite EX flashes, 3-inch (7.5 cm) Clear View LCD display, high-precision AF system uses 9 AF,  record Full HD (1080p) videos, ISO 12.800, RAW, 15.1MP, used",3988.0,6,1,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
"Canon EOS 1100D (Kiss X50 / Rebel T3) DSLR camera Red body, Compatible with ALL Canon EF and EF-S Lenses, 63 Zone Dual-Layer System, 9 Point AF, 3 fps Basic+, Quick Setting, and Creative Auto ISO 6400 12.2MP CMOS (APS-C) sensor, Canon's DIGIC 4, used",3500.0,0,2,False,Chonburi,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
Canon 18-200 IS สภาพดี มีกันสั่น ไม่มีฝ่ารา ใช้งานได้ปกติทุกระบบ,5800.0,0,1,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวต่ำ"
กล้องดิจิตอล canon 550D,4300.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
Canon ixus75/ixy90 superrare 💐รุ่น sabrina,5379.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
กล้องมือสองถูก canon 550d canon550d แคนนอน,6490.0,0,0,False,Bangkok,"ราคาต่ำ, จำนวนการขายและรีวิวเป็น 0"
